eng	ja	category	is_drug_response
Multiple myeloma	多発性骨髄腫	Disease	
Multiple sclerosis	多発性硬化症	Disease	
Multiple sclerosis (age of onset)	多発性硬化症 (age of onset)	Disease	
Multiple sclerosis (severity)	多発性硬化症の重症度	Disease	
Multiple sclerosis--Brain Glutamate Levels	多発性硬化症と脳グルタミン酸濃度	Trait_med	
Myasthenia gravis 	重症筋無力症	Disease	
Myeloproliferative neoplasms	骨髄増殖性腫瘍	Disease	
Myocardial infarction	心筋梗塞	Disease	
Myocardial infarction (early onset)	心筋梗塞 (early onset)	Disease	
Myopia (pathological)	近視 (病理的な)	Disease	
N-glycan levels	N-グリカン濃度	Trait_med	
Naphthyl-keratin adduct levels 	ナフチル角質付加物濃度	Trait_med	
Narcolepsy	睡眠発作(ナルコレプシー)	Disease	
Nasopharyngeal carcinoma	鼻咽頭がん	Disease	
Natriuretic peptide levels	ナトリウム利尿ペプチド濃度	Trait_med	
Neonatal lupus	新生児ループス	Disease	
Nephrolithiasis	腎石症	Disease	
Nephropathy	腎障害	Disease	
Nephropathy (idiopathic membranous)	特発性膜性腎症	Disease	
Nephrotic syndrome (acquired)	後天性ネフローゼ症候群	Disease	
Neural processing (facial expression)	神経処理 (顔面表情)	Trait_med	
Neuranatomic and neurocognitive phenotypes	神経解剖学的・認知神経科学的な表現型	Trait_med	
Neuroblastoma	神経芽細胞腫(ニューロブラストーマ)	Disease	
Neuroblastoma (high-risk)	神経芽細胞腫(ニューロブラストーマ)の高いリスク	Disease	
Neuromyelitis optica	視神経脊髄炎	Disease	
Neuroticism	神経質(ニューロティシズム)	Disease	
Neutrophil count	好中球数	Trait_med	
Nevirapine-induced rash	ネビラピン誘発性の発疹	Disease	
Nevus count	母斑数	Trait_med	
Nicotine dependence	ニコチン依存症	Disease	
Nodular sclerosis Hodgkin lymphoma	結節硬化型ホジキンリンパ腫	Disease	
Non-albumin protein levels 	非アルブミンタンパク濃度	Trait_med	
Non-alcoholic fatty liver disease histology (AST)	非アルコール性脂肪性肝疾患の組織学 (AST)	Disease	
Non-alcoholic fatty liver disease histology (lobular)	非アルコール性脂肪性肝疾患の組織学 (lobular)	Disease	
Non-alcoholic fatty liver disease histology (other)	非アルコール性脂肪性肝疾患の組織学 (other)	Disease	
Non-obstructive azoospermia	非閉塞性無精子症	Disease	
Non-small cell lung cancer	非小細胞肺がん	Disease	
Nonalcoholic fatty liver disease	非アルコール性脂肪性肝疾患	Disease	
Normalized brain volume	標準脳容積	Trait_med	
Obesity	肥満症	Disease	
Obesity (early onset extreme)	肥満症 (early onset extreme)		
#			
Obesity (extreme)	Obesity (extreme)		
Obesity and blood pressure	Obesity and blood pressure		
Obesity and osteoporosis	Obesity and osteoporosis		
Obesity-related traits	Obesity-related traits		
Obsessive-compulsive disorder	強迫症		
Odorant perception	Odorant perception		
Optic disc parameters	Optic disc parameters		
Optic disc size (cup)	Optic disc size (cup)		
Optic disc size (disc)	Optic disc size (disc)		
Optic disc size (rim)	Optic disc size (rim)		
Oral cancers (chewing tobacco related)	Oral cancers (chewing tobacco related)		
Orofacial clefts	Orofacial clefts		
Osteoarthritis	CM関節変形性関節症		
Osteonecrosis of the jaw	ビスホスホネート誘発顎骨壊死		
Osteoporosis	オステオポローシス		
Osteoporosis-related phenotypes	Osteoporosis-related phenotypes		
Other erythrocyte phenotypes	Other erythrocyte phenotypes		
Otosclerosis	耳硬化症		
Ovarian cancer	卵巣上皮がん		
Ovarian reserve	Ovarian reserve		
P-tau181p	P-tau181p		
PR interval	ＰＲ(ＰＱ)間隔		
Paclitaxel-induced neuropathy	Paclitaxel-induced neuropathy		
Paget's disease	乳房パジェット病		
Pain	mカルパイン		
Pancreatic cancer	膵がん		
Panic disorder	広場恐怖を伴うパニック障害		
Parkinson's disease	特発性パーキンソン病		
Parkinson's disease (age of onset)	Parkinson's disease (age of onset)		
Parkinson's disease (familial)	Parkinson's disease (familial)		
Parkinson's disease (interaction with coffee consumption)	Parkinson's disease (interaction with coffee consumption)		
Parkinson's disease (motor and cognition)	Parkinson's disease (motor and cognition)		
Partial epilepsies	Partial epilepsies		
Pelvic organ prolapse	骨盤内臓器脱		
Pemphigus vulgaris	尋常性天疱瘡		
Pericardial fat	Pericardial fat		
Periodontal microbiota	Periodontal microbiota		
Periodontitis	若年性歯周炎		
Peripartum cardiomyopathy	産褥性心筋症		
Peripheral artery disease	末梢動脈疾患		
Permanent tooth development	Permanent tooth development		
Personality dimensions	Personality dimensions		
Personality disorders	Personality disorders		
Phospholipid levels (plasma)	Phospholipid levels (plasma)		
Phosphorus levels	Phosphorus levels		
Phytosterol levels	Phytosterol levels		
Plasminogen activator inhibitor type 1 levels (PAI-1)	Plasminogen activator inhibitor type 1 levels (PAI-1)		
Platelet aggregation	血小板凝集抑制作用		
Platelet counts	Platelet counts		
Platelet function and related traits	Platelet function and related traits		
Podoconiosis	Podoconiosis		
Polycystic ovary syndrome	多嚢胞性卵巣症候群		
Polyunsaturated fatty acid levels	Polyunsaturated fatty acid levels		
Post- traumatic stress disorder	Post- traumatic stress disorder		
Postoperative nausea and vomiting 	Postoperative nausea and vomiting		
Postoperative ventricular dysfunction 	Postoperative ventricular dysfunction		
Preeclampsia	妊娠高血圧腎症		
Premature ovarian failure	早発閉経		
Primary biliary cirrhosis	原発性胆汁性肝硬変		
Primary sclerosing cholangitis	原発性硬化性胆管炎		
Primary tooth development (number of teeth)	Primary tooth development (number of teeth)		
Primary tooth development (time to first tooth eruption)	Primary tooth development (time to first tooth eruption)		
Prion diseases	Prion diseases		
Progranulin levels	Progranulin levels		
Progressive supranuclear palsy	進行性核上麻痺		
Proinsulin levels	Proinsulin levels		
Prostate cancer	前立腺がん細胞株		
Prostate cancer (gene x gene interaction)	Prostate cancer (gene x gene interaction)		
Prostate cancer mortality	Prostate cancer mortality		
Prostate-specific antigen levels	Prostate-specific antigen levels		
Protein C levels	Protein C levels		
Protein quantitative trait loci	Protein quantitative trait loci		
Prothrombin time	プロトロンビン時間		
Pseudoexfoliation syndrome	Pseudoexfoliation syndrome		
Psoriasis	網状類乾癬		
Psoriatic arthritis	乾癬性関節炎		
Pulmonary function	肺機能検査		
Pulmonary function decline	Pulmonary function decline		
QT interval	補正QT時間		
Quantitative traits	Quantitative traits		
RR interval (heart rate)	RR interval (heart rate)		
Radiation response	Radiation response		
Reasoning	Reasoning		
Recombination rate (females)	Recombination rate (females)		
Recombination rate (males)	Recombination rate (males)		
Red blood cell traits	Red blood cell traits		
Red vs non-red hair color	Red vs non-red hair color		
Red vs. non-red hair color	Red vs. non-red hair color		
Refractive error	屈折異常		
Renal cell carcinoma	乳頭状腎細胞がん		
Renal function and chronic kidney disease	Renal function and chronic kidney disease		
Renal function-related traits (BUN)	Renal function-related traits (BUN)		
Renal function-related traits (eGRFcrea)	Renal function-related traits (eGRFcrea)		
Renal function-related traits (sCR)	Renal function-related traits (sCR)		
Renal function-related traits (urea)	Renal function-related traits (urea)		
Renal sinus fat 	Renal sinus fat		
Resistin levels 	Resistin levels		
Response to TNF antagonist treatment	Response to TNF antagonist treatment		
Response to TNF-alpha inhibitors in rheumatoid arthritis	Response to TNF-alpha inhibitors in rheumatoid arthritis		
Response to Vitamin E supplementation	Response to Vitamin E supplementation		
Response to acetaminophen (hepatotoxicity)	Response to acetaminophen (hepatotoxicity)		
Response to amphetamines	Response to amphetamines		
Response to angiotensin II receptor blocker therapy	Response to angiotensin II receptor blocker therapy		
Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)	Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)		
Response to antidepressant treatment	Response to antidepressant treatment		
Response to antidepressants	Response to antidepressants		
Response to antineoplastic agents	Response to antineoplastic agents		
Response to antipsychotic therapy (extrapyramidal side effects)	Response to antipsychotic therapy (extrapyramidal side effects)		
Response to antipsychotic treatment	Response to antipsychotic treatment		
Response to cerivastatin	Response to cerivastatin		
Response to citalopram treatment	Response to citalopram treatment		
Response to clopidogrel therapy	Response to clopidogrel therapy		
Response to diuretic therapy	Response to diuretic therapy		
Response to fenofibrate	Response to fenofibrate		
Response to gemcitabine in pancreatic cancer 	Response to gemcitabine in pancreatic cancer		
Response to hepatitis C treatment	Response to hepatitis C treatment		
Response to iloperidone treatment (PANSS-T score)	Response to iloperidone treatment (PANSS-T score)		
Response to iloperidone treatment (QT prolongation)	Response to iloperidone treatment (QT prolongation)		
Response to interferon beta therapy	Response to interferon beta therapy		
Response to irinotecan in non-small-cell lung cancer	Response to irinotecan in non-small-cell lung cancer		
Response to lithium treatment in bipolar disorder	Response to lithium treatment in bipolar disorder		
Response to metformin	Response to metformin		
Response to methylphenidate treatment	Response to methylphenidate treatment		
Response to platinum-based agents	Response to platinum-based agents		
Response to platinum-based chemotherapy in non-small-cell lung cancer	Response to platinum-based chemotherapy in non-small-cell lung cancer		
Response to platinum-based chemotherapy in small cell and non-small cell lung cancers	Response to platinum-based chemotherapy in small cell and non-small cell lung cancers		
Response to platinum-based chemotherapy in small-cell lung cancer	Response to platinum-based chemotherapy in small-cell lung cancer		
Response to statin therapy	Response to statin therapy		
Response to statin therapy (LDL-C)	Response to statin therapy (LDL-C)		
Response to tamoxifen in breast cancer	Response to tamoxifen in breast cancer		
Response to taxane treatment (docetaxel)	Response to taxane treatment (docetaxel)		
Response to taxane treatment (placlitaxel)	Response to taxane treatment (placlitaxel)		
Response to tocilizumab in rheumatoid arthritis	Response to tocilizumab in rheumatoid arthritis		
Response to treatment for acute lymphoblastic leukemia	Response to treatment for acute lymphoblastic leukemia		
Response to ximelagatran treatment	Response to ximelagatran treatment		
Resting heart rate	Resting heart rate		
Restless legs syndrome	レストレスレッグ症候群		
Retinal vascular caliber	Retinal vascular caliber		
Retinol levels	Retinol levels		
Rheumatoid arthritis	多発性リウマチ性関節炎		
Ribavirin-induced anemia	Ribavirin-induced anemia		
Sarcoidosis	皮膚サルコイドーシス		
Schizophrenia	小児発症統合失調症		
Schizophrenia (treatment refractory) 	Schizophrenia (treatment refractory)		
Schizophrenia, bipolar disorder and depression (combined)	Schizophrenia, bipolar disorder and depression (combined)		
Sclerosing cholangitis and ulcerative colitis (combined)	Sclerosing cholangitis and ulcerative colitis (combined)		
Scoliosis	機能性側弯(症)		
Select biomarker traits	Select biomarker traits		
Self-rated health	Self-rated health		
Serologic markers in systemic lupus erythematosus	Serologic markers in systemic lupus erythematosus		
Sex hormone-binding globulin levels	Sex hormone-binding globulin levels		
Sex ratio at birth	Sex ratio at birth		
Sexual dysfunction (SSRI/SNRI-related)	Sexual dysfunction (SSRI/SNRI-related)		
Sexual dysfunction (female)	Sexual dysfunction (female)		
Sick sinus syndrome	洞結節機能不全症候群		
Sickle cell anemia (severity)	Sickle cell anemia (severity)		
Skin pigmentation	皮膚色素沈着		
Skin sensitivity to sun	Skin sensitivity to sun		
Sleep duration	Sleep duration		
Sleepiness	日中の過剰な眠気		
Small-cell lung cancer	転移性肺非小細胞癌		
Smoking behavior	Smoking behavior		
Smoking cessation	禁煙療法		
Social and Non-Social Autistic-Like Traits	Social and Non-Social Autistic-Like Traits		
Soluble E-selectin levels	Soluble E-selectin levels		
Soluble ICAM-1	Soluble ICAM-1		
Soluble leptin receptor levels	Soluble leptin receptor levels		
Soluble levels of adhesion molecules	Soluble levels of adhesion molecules		
Speech perception in dyslexia	Speech perception in dyslexia		
Sphingolipid levels	Sphingolipid levels		
Spine bone size	Spine bone size		
Stevens-Johnson syndrome	皮膚粘膜眼症候群		
Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)		
Stroke	上昇行程		
Stroke (ischemic)	Stroke (ischemic)		
Stroke (pediatric)	Stroke (pediatric)		
Subarachnoid aneurysmal hemorrhage	Subarachnoid aneurysmal hemorrhage		
Subclinical atherosclerosis traits (other)	Subclinical atherosclerosis traits (other)		
Subclinical brain infarct	Subclinical brain infarct		
Subcutaneous adipose tissue	皮下脂肪		
Substance dependence	物質依存症		
Sudden cardiac arrest	心突然死		
Suicidal ideation	希死念慮		
Suicide attempts in bipolar disorder	Suicide attempts in bipolar disorder		
Systemic lupus erythematosus	全身性紅斑性狼瘡		
Systemic sclerosis	全身性強皮症		
Systolic blood pressure	最高血圧		
T-tau	T-tau		
TP53 carriage	TP53 carriage		
Tanning	日焼け		
Tardive dyskinesia 	Tardive dyskinesia		
Telomere length	テロメア長		
Temperament	気質		
Temperament (bipolar disorder)	Temperament (bipolar disorder)		
Testicular cancer	睾丸がん		
Testicular dysgenesis syndrome 	Testicular dysgenesis syndrome		
Testicular germ cell cancer	精巣胚細胞性癌		
Testicular germ cell tumor	Testicular germ cell tumor		
Testosterone levels	Testosterone levels		
Thoracic aortic aneurysms and dissections	Thoracic aortic aneurysms and dissections		
Thyroid cancer	転移性甲状腺癌		
Thyroid function	甲状腺機能検査		
Thyroid stimulating hormone	甲状腺刺激ホルモン		
Thyroid volume	Thyroid volume		
Thyrotoxic hypokalemic periodic paralysis	Thyrotoxic hypokalemic periodic paralysis		
Tonometry	眼圧測定(法)		
Total ventricular volume	Total ventricular volume		
Tourette syndrome	Tourette症候群		
Treatment response for severe sepsis 	Treatment response for severe sepsis		
Triglycerides	Triglycerides		
Triglycerides-Blood Pressure (TG-BP)	Triglycerides-Blood Pressure (TG-BP)		
Tuberculosis	副腎結核		
Two-hour glucose challenge	Two-hour glucose challenge		
Type 1 diabetes	1型糖尿病合併妊娠		
Type 1 diabetes autoantibodies	Type 1 diabetes autoantibodies		
Type 1 diabetes nephropathy	Type 1 diabetes nephropathy		
Type 2 diabetes	II型糖尿病		
Type 2 diabetes and 6 quantitative traits	Type 2 diabetes and 6 quantitative traits		
Type 2 diabetes and gout	Type 2 diabetes and gout		
Type 2 diabetes and other traits	Type 2 diabetes and other traits		
Type 2 diabetes nephropathy	Type 2 diabetes nephropathy		
Ulcerative colitis	潰瘍性大腸炎		
Upper aerodigestive tract cancers	Upper aerodigestive tract cancers		
Urate levels	Urate levels		
Uric acid levels	Uric acid levels		
Urinary albumin excretion	尿中アルブミン排泄		
Urinary bladder cancer	膀胱がん		
Urinary metabolites	Urinary metabolites		
Uterine fibroids	Uterine fibroids		
Vaccine-related adverse events 	Vaccine-related adverse events		
Vascular dementia	脳血管性痴呆		
Vascular endothelial growth factor levels	Vascular endothelial growth factor levels		
Vaspin levels	Vaspin levels		
Venous thromboembolism	静脈血栓塞栓		
Ventricular conduction	心室内伝導障害		
Ventricular fibrillation	再発心室細動		
Vertical cup-disc ratio	Vertical cup-disc ratio		
Visceral adipose tissue adjusted for BMI	Visceral adipose tissue adjusted for BMI		
Visceral adipose tissue/subcutaneous adipose tissue ratio	Visceral adipose tissue/subcutaneous adipose tissue ratio		
Visceral fat	内臓脂肪型肥満		
Vitamin B12 levels	Vitamin B12 levels		
Vitamin D insufficiency	Vitamin D insufficiency		
Vitamin D levels	Vitamin D levels		
Vitamin E levels	Vitamin E levels		
Vitiligo	尋常性白斑		
Volumetric brain MRI	Volumetric brain MRI		
Waist Circumference - Triglycerides (WC-TG)	Waist Circumference - Triglycerides (WC-TG)		
Waist circumference	胴囲		
Waist circumference and related phenotypes	Waist circumference and related phenotypes		
Waist-hip ratio	ウエスト・ヒップ比		
Warfarin maintenance dose	Warfarin maintenance dose		
Weight	拡散強調画像		
White blood cell count	総白血球数		
White blood cell types	White blood cell types		
White matter hyperintensity burden	White matter hyperintensity burden		
White matter integrity	White matter integrity		
Wilms tumor	ウィルムス腫瘍		
Working memory	ワーキングメモリー		
Wrist bone mass	Wrist bone mass		
YKL-40 levels	YKL-40 levels		
vWF and FVIII levels	vWF and FVIII levels		
